##################################################################################
# Grid of water world sub-Neptune atmospheric escape models 
#   wind-ae (Broome+2025)
#
# Atmosphere Composition
#  HI: 1.12e-01
#  OI: 8.88e-01
#
# Parameters:
#   Mp: planet mass (M_earth)
#   Rp: planet radius (R_earth)
#   grav: planet gravity (m/s^2)
#   Teq: equilibrium temperature (K)
#   a: semi-major axis (au)
#   Fxuv: total XUV flux at planet's orbit (Fuv_earth)
#   mstar: stellar mass (Msun)
#   lstar: stellar luminosity (Lsun)
#   Mdot: atmospheric mass-loss rate (kg/s)
#   Mdot_OW17: atmospheric mass-loss rate from Owen & Wu 2017 (kg/s) [IGNORE FOR NOW]
#   ramp_to: 0- ramp success, else- ramp failed
#   run_wind: sim.run_wind() output. 0- wind launched, else- wind failed
#   rochelim: 0- planet outside Roche limit, 1- planet within Roche limit
#
# Created: November 03, 2025
# Units: SI, astronomical
# Pure H2O atmosphere, no conductive or bolometric heat/cool, static bcs.
##################################################################################

Mp	Rp	grav	Teq	a	Fxuv	mstar	lstar	Mdot	MdotOW17	ramp_to	run_wind	rochelim
0.20000	0.52019	7.240000	400	0.48417	7.33145e-02	1.000	1.00000	2.41943e+03	1.55443e+05	0	0	0
0.20000	0.52019	7.240000	400	0.48417	9.82388e-01	1.000	1.00000	3.16333e+04	1.55443e+05	0	0	0
0.20000	0.52019	7.240000	400	0.48417	1.31636e+01	1.000	1.00000	3.37500e+05	1.55443e+05	0	0	0
0.20000	0.52019	7.240000	400	0.48417	1.76388e+02	1.000	1.00000	1.93149e+06	1.55443e+05	0	0	0
0.20000	0.52019	7.240000	400	0.48417	2.36354e+03	1.000	1.00000	6.03859e+06	1.55443e+05	0	0	0
0.20000	0.52019	7.240000	675	0.00577	7.33145e-02	0.100	0.00115	1.11690e+04	3.62096e+08	0	0	1
0.20000	0.52019	7.240000	675	0.00577	9.82388e-01	0.100	0.00115	0.00000e+00	3.62096e+08	10	1	1
0.20000	0.52019	7.240000	675	0.00577	1.31636e+01	0.100	0.00115	0.00000e+00	3.62096e+08	10	1	1
0.20000	0.52019	7.240000	675	0.00577	1.76388e+02	0.100	0.00115	0.00000e+00	3.62096e+08	10	1	1
0.20000	0.52019	7.240000	675	0.00577	2.36354e+03	0.100	0.00115	0.00000e+00	3.62096e+08	10	1	1
0.20000	0.52019	7.240000	675	0.01429	7.33145e-02	0.220	0.00707	3.23121e+03	2.11228e+08	0	0	0
0.20000	0.52019	7.240000	675	0.01429	9.82388e-01	0.220	0.00707	4.08857e+04	2.11228e+08	0	0	0
0.20000	0.52019	7.240000	675	0.01429	1.31636e+01	0.220	0.00707	4.04728e+05	2.11228e+08	0	0	0
0.20000	0.52019	7.240000	675	0.01429	1.76388e+02	0.220	0.00707	2.17214e+06	2.11228e+08	0	0	0
0.20000	0.52019	7.240000	675	0.01429	2.36354e+03	0.220	0.00707	6.14604e+06	2.11228e+08	0	0	0
0.20000	0.52019	7.240000	675	0.02042	7.33145e-02	0.300	0.01442	2.85719e+03	1.06022e+08	0	0	0
0.20000	0.52019	7.240000	675	0.02042	9.82388e-01	0.300	0.01442	3.64908e+04	1.06022e+08	0	0	0
0.20000	0.52019	7.240000	675	0.02042	1.31636e+01	0.300	0.01442	3.71706e+05	1.06022e+08	0	0	0
0.20000	0.52019	7.240000	675	0.02042	1.76388e+02	0.300	0.01442	2.05106e+06	1.06022e+08	0	0	0
0.20000	0.52019	7.240000	675	0.02042	2.36354e+03	0.300	0.01442	6.13402e+06	1.06022e+08	0	0	0
0.20000	0.52019	7.240000	675	0.05143	7.33145e-02	0.550	0.09151	2.56388e+03	1.49676e+07	0	0	0
0.20000	0.52019	7.240000	675	0.05143	9.82388e-01	0.550	0.09151	3.24723e+04	1.49676e+07	0	0	0
0.20000	0.52019	7.240000	675	0.05143	1.31636e+01	0.550	0.09151	3.46568e+05	1.49676e+07	0	0	0
0.20000	0.52019	7.240000	675	0.05143	1.76388e+02	0.550	0.09151	1.94330e+06	1.49676e+07	0	0	0
0.20000	0.52019	7.240000	675	0.05143	2.36354e+03	0.550	0.09151	5.98622e+06	1.49676e+07	0	0	0
0.20000	0.52019	7.240000	675	0.17002	7.33145e-02	1.000	1.00000	2.46809e+03	1.28880e+06	0	0	0
0.20000	0.52019	7.240000	675	0.17002	9.82388e-01	1.000	1.00000	3.16915e+04	1.28880e+06	0	0	0
0.20000	0.52019	7.240000	675	0.17002	1.31636e+01	1.000	1.00000	3.39812e+05	1.28880e+06	0	0	0
0.20000	0.52019	7.240000	675	0.17002	1.76388e+02	1.000	1.00000	1.92889e+06	1.28880e+06	0	0	0
0.20000	0.52019	7.240000	675	0.17002	2.36354e+03	1.000	1.00000	5.96998e+06	1.28880e+06	0	0	0
